行政区域コード,都道府県名（漢字）,市区町村名（漢字）,都道府県名（ｶﾅ）,市区町村名（ｶﾅ）,コードの改定区分,改正年月日,改正後のコード,改正後の名称,改正後の名称(ｶﾅ),改正事由等,最終市区町村名
01000,北海道,,ﾎｯｶｲﾄﾞｳ,,,,01000,,,,
01100,北海道,札幌市,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼ,,,01100,,,,札幌市
01101,北海道,札幌市中央区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ,,,01101,,,,札幌市中央区
01102,北海道,札幌市北区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼｷﾀｸ,,,01102,,,,札幌市北区
01103,北海道,札幌市東区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾋｶﾞｼｸ,,,01103,,,,札幌市東区
01104,北海道,札幌市白石区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼｼﾛｲｼｸ,,,01104,,,,札幌市白石区
01105,北海道,札幌市豊平区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾄﾖﾋﾗｸ,,,01105,,,,札幌市豊平区
01106,北海道,札幌市南区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾐﾅﾐｸ,,,01106,,,,札幌市南区
01107,北海道,札幌市西区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾆｼｸ,,,01107,,,,札幌市西区
01108,北海道,札幌市厚別区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼｱﾂﾍﾞﾂｸ,,,01108,,,,札幌市厚別区
01109,北海道,札幌市手稲区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼﾃｲﾈｸ,,,01109,,,,札幌市手稲区
01110,北海道,札幌市清田区,ﾎｯｶｲﾄﾞｳ,ｻｯﾎﾟﾛｼｷﾖﾀｸ,,,01110,,,,札幌市清田区
01202,北海道,函館市,ﾎｯｶｲﾄﾞｳ,ﾊｺﾀﾞﾃｼ,,,01202,,,,函館市
01203,北海道,小樽市,ﾎｯｶｲﾄﾞｳ,ｵﾀﾙｼ,,,01203,,,,小樽市
01204,北海道,旭川市,ﾎｯｶｲﾄﾞｳ,ｱｻﾋｶﾜｼ,,,01204,,,,旭川市
01205,北海道,室蘭市,ﾎｯｶｲﾄﾞｳ,ﾑﾛﾗﾝｼ,,,01205,,,,室蘭市
01206,北海道,釧路市,ﾎｯｶｲﾄﾞｳ,ｸｼﾛｼ,,,01206,,,,釧路市
01207,北海道,帯広市,ﾎｯｶｲﾄﾞｳ,ｵﾋﾞﾋﾛｼ,,,01207,,,,帯広市
01208,北海道,北見市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾐｼ,,,01208,,,,北見市
01209,北海道,夕張市,ﾎｯｶｲﾄﾞｳ,ﾕｳﾊﾞﾘｼ,,,01209,,,,夕張市
01210,北海道,岩見沢市,ﾎｯｶｲﾄﾞｳ,ｲﾜﾐｻﾞﾜｼ,,,01210,,,,岩見沢市
01211,北海道,網走市,ﾎｯｶｲﾄﾞｳ,ｱﾊﾞｼﾘｼ,,,01211,,,,網走市
01212,北海道,留萌市,ﾎｯｶｲﾄﾞｳ,ﾙﾓｲｼ,,,01212,,,,留萌市
01213,北海道,苫小牧市,ﾎｯｶｲﾄﾞｳ,ﾄﾏｺﾏｲｼ,,,01213,,,,苫小牧市
01214,北海道,稚内市,ﾎｯｶｲﾄﾞｳ,ﾜｯｶﾅｲｼ,,,01214,,,,稚内市
01215,北海道,美唄市,ﾎｯｶｲﾄﾞｳ,ﾋﾞﾊﾞｲｼ,,,01215,,,,美唄市
01216,北海道,芦別市,ﾎｯｶｲﾄﾞｳ,ｱｼﾍﾞﾂｼ,,,01216,,,,芦別市
01217,北海道,江別市,ﾎｯｶｲﾄﾞｳ,ｴﾍﾞﾂｼ,,,01217,,,,江別市
01218,北海道,赤平市,ﾎｯｶｲﾄﾞｳ,ｱｶﾋﾞﾗｼ,,,01218,,,,赤平市
01219,北海道,紋別市,ﾎｯｶｲﾄﾞｳ,ﾓﾝﾍﾞﾂｼ,,,01219,,,,紋別市
01220,北海道,士別市,ﾎｯｶｲﾄﾞｳ,ｼﾍﾞﾂｼ,,,01220,,,,士別市
01221,北海道,名寄市,ﾎｯｶｲﾄﾞｳ,ﾅﾖﾛｼ,,,01221,,,,名寄市
01222,北海道,三笠市,ﾎｯｶｲﾄﾞｳ,ﾐｶｻｼ,,,01222,,,,三笠市
01223,北海道,根室市,ﾎｯｶｲﾄﾞｳ,ﾈﾑﾛｼ,,,01223,,,,根室市
01224,北海道,千歳市,ﾎｯｶｲﾄﾞｳ,ﾁﾄｾｼ,,,01224,,,,千歳市
01225,北海道,滝川市,ﾎｯｶｲﾄﾞｳ,ﾀｷｶﾜｼ,,,01225,,,,滝川市
01226,北海道,砂川市,ﾎｯｶｲﾄﾞｳ,ｽﾅｶﾞﾜｼ,,,01226,,,,砂川市
01227,北海道,歌志内市,ﾎｯｶｲﾄﾞｳ,ｳﾀｼﾅｲｼ,,,01227,,,,歌志内市
01228,北海道,深川市,ﾎｯｶｲﾄﾞｳ,ﾌｶｶﾞﾜｼ,,,01228,,,,深川市
01229,北海道,富良野市,ﾎｯｶｲﾄﾞｳ,ﾌﾗﾉｼ,,,01229,,,,富良野市
01230,北海道,登別市,ﾎｯｶｲﾄﾞｳ,ﾉﾎﾞﾘﾍﾞﾂｼ,,,01230,,,,登別市
01231,北海道,恵庭市,ﾎｯｶｲﾄﾞｳ,ｴﾆﾜｼ,,,01231,,,,恵庭市
01233,北海道,伊達市,ﾎｯｶｲﾄﾞｳ,ﾀﾞﾃｼ,,,01233,,,,伊達市
01234,北海道,北広島市,ﾎｯｶｲﾄﾞｳ,ｷﾀﾋﾛｼﾏｼ,,,01234,,,,北広島市
01235,北海道,石狩市,ﾎｯｶｲﾄﾞｳ,ｲｼｶﾘｼ,,,01235,,,,石狩市
01236,北海道,北斗市,ﾎｯｶｲﾄﾞｳ,ﾎｸﾄｼ,,,01236,,,,北斗市
01303,北海道,当別町,ﾎｯｶｲﾄﾞｳ,ﾄｳﾍﾞﾂﾁｮｳ,,,01303,,,,当別町
01304,北海道,新篠津村,ﾎｯｶｲﾄﾞｳ,ｼﾝｼﾉﾂﾑﾗ,,,01304,,,,新篠津村
01305,北海道,厚田村,ﾎｯｶｲﾄﾞｳ,ｱﾂﾀﾑﾗ,欠番,H17.10.1,01235,石狩市,ｲｼｶﾘｼ,合併後は石狩市,石狩市
01306,北海道,浜益村,ﾎｯｶｲﾄﾞｳ,ﾊﾏﾏｽﾑﾗ,欠番,H17.10.1,01235,石狩市,ｲｼｶﾘｼ,合併後は石狩市,石狩市
01331,北海道,松前町,ﾎｯｶｲﾄﾞｳ,ﾏﾂﾏｴﾁｮｳ,,,01331,,,,松前町
01332,北海道,福島町,ﾎｯｶｲﾄﾞｳ,ﾌｸｼﾏﾁｮｳ,,,01332,,,,福島町
01333,北海道,知内町,ﾎｯｶｲﾄﾞｳ,ｼﾘｳﾁﾁｮｳ,,,01333,,,,知内町
01334,北海道,木古内町,ﾎｯｶｲﾄﾞｳ,ｷｺﾅｲﾁｮｳ,,,01334,,,,木古内町
01335,北海道,上磯町,ﾎｯｶｲﾄﾞｳ,ｶﾐｲｿﾁｮｳ,欠番,H18.2.1,01236,北斗市,ﾎｸﾄｼ,合併後は北斗市,北斗市
01336,北海道,大野町,ﾎｯｶｲﾄﾞｳ,ｵｵﾉﾁｮｳ,欠番,H18.2.1,01236,北斗市,ﾎｸﾄｼ,合併後は北斗市,北斗市
01337,北海道,七飯町,ﾎｯｶｲﾄﾞｳ,ﾅﾅｴﾁｮｳ,,,01337,,,,七飯町
01343,北海道,鹿部町,ﾎｯｶｲﾄﾞｳ,ｼｶﾍﾞﾁｮｳ,,,01343,,,,鹿部町
01344,北海道,砂原町,ﾎｯｶｲﾄﾞｳ,ｻﾜﾗﾁｮｳ,欠番,H17.4.1,01345,森町,ﾓﾘﾏﾁ,合併後は森町,森町
01345,北海道,森町,ﾎｯｶｲﾄﾞｳ,ﾓﾘﾏﾁ,,,01345,,,,森町
01346,北海道,八雲町,ﾎｯｶｲﾄﾞｳ,ﾔｸﾓﾁｮｳ,,,01346,,,,八雲町
01347,北海道,長万部町,ﾎｯｶｲﾄﾞｳ,ｵｼｬﾏﾝﾍﾞﾁｮｳ,,,01347,,,,長万部町
01361,北海道,江差町,ﾎｯｶｲﾄﾞｳ,ｴｻｼﾁｮｳ,,,01361,,,,江差町
01362,北海道,上ノ国町,ﾎｯｶｲﾄﾞｳ,ｶﾐﾉｸﾆﾁｮｳ,,,01362,,,,上ノ国町
01363,北海道,厚沢部町,ﾎｯｶｲﾄﾞｳ,ｱｯｻﾌﾞﾁｮｳ,,,01363,,,,厚沢部町
01364,北海道,乙部町,ﾎｯｶｲﾄﾞｳ,ｵﾄﾍﾞﾁｮｳ,,,01364,,,,乙部町
01365,北海道,熊石町,ﾎｯｶｲﾄﾞｳ,ｸﾏｲｼﾁｮｳ,欠番,H17.10.1,01346,八雲町,ﾔｸﾓﾁｮｳ,合併後は八雲町,八雲町
01366,北海道,大成町,ﾎｯｶｲﾄﾞｳ,ﾀｲｾｲﾁｮｳ,欠番,H17.9.1,01371,せたな町,ｾﾀﾅﾁｮｳ,合併後はせたな町,せたな町
01367,北海道,奥尻町,ﾎｯｶｲﾄﾞｳ,ｵｸｼﾘﾁｮｳ,,,01367,,,,奥尻町
01368,北海道,瀬棚町,ﾎｯｶｲﾄﾞｳ,ｾﾀﾅﾁｮｳ,欠番,H17.9.1,01371,せたな町,ｾﾀﾅﾁｮｳ,合併後はせたな町,せたな町
01369,北海道,北檜山町,ﾎｯｶｲﾄﾞｳ,ｷﾀﾋﾔﾏﾁｮｳ,欠番,H17.9.1,01371,せたな町,ｾﾀﾅﾁｮｳ,合併後はせたな町,せたな町
01370,北海道,今金町,ﾎｯｶｲﾄﾞｳ,ｲﾏｶﾈﾁｮｳ,,,01370,,,,今金町
01371,北海道,せたな町,ﾎｯｶｲﾄﾞｳ,ｾﾀﾅﾁｮｳ,,,01371,,,,せたな町
01391,北海道,島牧村,ﾎｯｶｲﾄﾞｳ,ｼﾏﾏｷﾑﾗ,,,01391,,,,島牧村
01392,北海道,寿都町,ﾎｯｶｲﾄﾞｳ,ｽｯﾂﾁｮｳ,,,01392,,,,寿都町
01393,北海道,黒松内町,ﾎｯｶｲﾄﾞｳ,ｸﾛﾏﾂﾅｲﾁｮｳ,,,01393,,,,黒松内町
01394,北海道,蘭越町,ﾎｯｶｲﾄﾞｳ,ﾗﾝｺｼﾁｮｳ,,,01394,,,,蘭越町
01395,北海道,ニセコ町,ﾎｯｶｲﾄﾞｳ,ﾆｾｺﾁｮｳ,,,01395,,,,ニセコ町
01396,北海道,真狩村,ﾎｯｶｲﾄﾞｳ,ﾏｯｶﾘﾑﾗ,,,01396,,,,真狩村
01397,北海道,留寿都村,ﾎｯｶｲﾄﾞｳ,ﾙｽﾂﾑﾗ,,,01397,,,,留寿都村
01398,北海道,喜茂別町,ﾎｯｶｲﾄﾞｳ,ｷﾓﾍﾞﾂﾁｮｳ,,,01398,,,,喜茂別町
01399,北海道,京極町,ﾎｯｶｲﾄﾞｳ,ｷｮｳｺﾞｸﾁｮｳ,,,01399,,,,京極町
01400,北海道,倶知安町,ﾎｯｶｲﾄﾞｳ,ｸｯﾁｬﾝﾁｮｳ,,,01400,,,,倶知安町
01401,北海道,共和町,ﾎｯｶｲﾄﾞｳ,ｷｮｳﾜﾁｮｳ,,,01401,,,,共和町
01402,北海道,岩内町,ﾎｯｶｲﾄﾞｳ,ｲﾜﾅｲﾁｮｳ,,,01402,,,,岩内町
01403,北海道,泊村,ﾎｯｶｲﾄﾞｳ,ﾄﾏﾘﾑﾗ,,,01403,,,,泊村
01404,北海道,神恵内村,ﾎｯｶｲﾄﾞｳ,ｶﾓｴﾅｲﾑﾗ,,,01404,,,,神恵内村
01405,北海道,積丹町,ﾎｯｶｲﾄﾞｳ,ｼｬｺﾀﾝﾁｮｳ,,,01405,,,,積丹町
01406,北海道,古平町,ﾎｯｶｲﾄﾞｳ,ﾌﾙﾋﾞﾗﾁｮｳ,,,01406,,,,古平町
01407,北海道,仁木町,ﾎｯｶｲﾄﾞｳ,ﾆｷﾁｮｳ,,,01407,,,,仁木町
01408,北海道,余市町,ﾎｯｶｲﾄﾞｳ,ﾖｲﾁﾁｮｳ,,,01408,,,,余市町
01409,北海道,赤井川村,ﾎｯｶｲﾄﾞｳ,ｱｶｲｶﾞﾜﾑﾗ,,,01409,,,,赤井川村
01421,北海道,北村,ﾎｯｶｲﾄﾞｳ,ｷﾀﾑﾗ,欠番,H18.3.27,01210,岩見沢市,ｲﾜﾐｻﾞﾜｼ,合併後は岩見沢市,岩見沢市
01422,北海道,栗沢町,ﾎｯｶｲﾄﾞｳ,ｸﾘｻﾜﾁｮｳ,欠番,H18.3.27,01210,岩見沢市,ｲﾜﾐｻﾞﾜｼ,合併後は岩見沢市,岩見沢市
01423,北海道,南幌町,ﾎｯｶｲﾄﾞｳ,ﾅﾝﾎﾟﾛﾁｮｳ,,,01423,,,,南幌町
01424,北海道,奈井江町,ﾎｯｶｲﾄﾞｳ,ﾅｲｴﾁｮｳ,,,01424,,,,奈井江町
01425,北海道,上砂川町,ﾎｯｶｲﾄﾞｳ,ｶﾐｽﾅｶﾞﾜﾁｮｳ,,,01425,,,,上砂川町
01427,北海道,由仁町,ﾎｯｶｲﾄﾞｳ,ﾕﾆﾁｮｳ,,,01427,,,,由仁町
01428,北海道,長沼町,ﾎｯｶｲﾄﾞｳ,ﾅｶﾞﾇﾏﾁｮｳ,,,01428,,,,長沼町
01429,北海道,栗山町,ﾎｯｶｲﾄﾞｳ,ｸﾘﾔﾏﾁｮｳ,,,01429,,,,栗山町
01430,北海道,月形町,ﾎｯｶｲﾄﾞｳ,ﾂｷｶﾞﾀﾁｮｳ,,,01430,,,,月形町
01431,北海道,浦臼町,ﾎｯｶｲﾄﾞｳ,ｳﾗｳｽﾁｮｳ,,,01431,,,,浦臼町
01432,北海道,新十津川町,ﾎｯｶｲﾄﾞｳ,ｼﾝﾄﾂｶﾜﾁｮｳ,,,01432,,,,新十津川町
01433,北海道,妹背牛町,ﾎｯｶｲﾄﾞｳ,ﾓｾｳｼﾁｮｳ,,,01433,,,,妹背牛町
01434,北海道,秩父別町,ﾎｯｶｲﾄﾞｳ,ﾁｯﾌﾟﾍﾞﾂﾁｮｳ,,,01434,,,,秩父別町
01436,北海道,雨竜町,ﾎｯｶｲﾄﾞｳ,ｳﾘｭｳﾁｮｳ,,,01436,,,,雨竜町
01437,北海道,北竜町,ﾎｯｶｲﾄﾞｳ,ﾎｸﾘｭｳﾁｮｳ,,,01437,,,,北竜町
01438,北海道,沼田町,ﾎｯｶｲﾄﾞｳ,ﾇﾏﾀﾁｮｳ,,,01438,,,,沼田町
01439,北海道,"幌加内町
（空知支庁）",ﾎｯｶｲﾄﾞｳ,ﾎﾛｶﾅｲﾁｮｳ,欠番,H22.4.1,01472," 幌加内町
（上川総合振興局）",ﾎﾛｶﾅｲﾁｮｳ,北海道における支庁制度改革に伴う所管区域の変更," 幌加内町
（上川総合振興局）"
01452,北海道,鷹栖町,ﾎｯｶｲﾄﾞｳ,ﾀｶｽﾁｮｳ,,,01452,,,,鷹栖町
01453,北海道,東神楽町,ﾎｯｶｲﾄﾞｳ,ﾋｶﾞｼｶｸﾞﾗﾁｮｳ,,,01453,,,,東神楽町
01454,北海道,当麻町,ﾎｯｶｲﾄﾞｳ,ﾄｳﾏﾁｮｳ,,,01454,,,,当麻町
01455,北海道,比布町,ﾎｯｶｲﾄﾞｳ,ﾋﾟｯﾌﾟﾁｮｳ,,,01455,,,,比布町
01456,北海道,愛別町,ﾎｯｶｲﾄﾞｳ,ｱｲﾍﾞﾂﾁｮｳ,,,01456,,,,愛別町
01457,北海道,上川町,ﾎｯｶｲﾄﾞｳ,ｶﾐｶﾜﾁｮｳ,,,01457,,,,上川町
01458,北海道,東川町,ﾎｯｶｲﾄﾞｳ,ﾋｶﾞｼｶﾜﾁｮｳ,,,01458,,,,東川町
01459,北海道,美瑛町,ﾎｯｶｲﾄﾞｳ,ﾋﾞｴｲﾁｮｳ,,,01459,,,,美瑛町
01460,北海道,上富良野町,ﾎｯｶｲﾄﾞｳ,ｶﾐﾌﾗﾉﾁｮｳ,,,01460,,,,上富良野町
01461,北海道,中富良野町,ﾎｯｶｲﾄﾞｳ,ﾅｶﾌﾗﾉﾁｮｳ,,,01461,,,,中富良野町
01462,北海道,南富良野町,ﾎｯｶｲﾄﾞｳ,ﾐﾅﾐﾌﾗﾉﾁｮｳ,,,01462,,,,南富良野町
01463,北海道,占冠村,ﾎｯｶｲﾄﾞｳ,ｼﾑｶｯﾌﾟﾑﾗ,,,01463,,,,占冠村
01464,北海道,和寒町,ﾎｯｶｲﾄﾞｳ,ﾜｯｻﾑﾁｮｳ,,,01464,,,,和寒町
01465,北海道,剣淵町,ﾎｯｶｲﾄﾞｳ,ｹﾝﾌﾞﾁﾁｮｳ,,,01465,,,,剣淵町
01466,北海道,朝日町,ﾎｯｶｲﾄﾞｳ,ｱｻﾋﾁｮｳ,欠番,H17.9.1,01220,士別市,ｼﾍﾞﾂｼ,合併後は士別市,士別市
01467,北海道,風連町,ﾎｯｶｲﾄﾞｳ,ﾌｳﾚﾝﾁｮｳ,欠番,H18.3.27,01221,名寄市,ﾅﾖﾛｼ,合併後は名寄市,名寄市
01468,北海道,下川町,ﾎｯｶｲﾄﾞｳ,ｼﾓｶﾜﾁｮｳ,,,01468,,,,下川町
01469,北海道,美深町,ﾎｯｶｲﾄﾞｳ,ﾋﾞﾌｶﾁｮｳ,,,01469,,,,美深町
01470,北海道,音威子府村,ﾎｯｶｲﾄﾞｳ,ｵﾄｲﾈｯﾌﾟﾑﾗ,,,01470,,,,音威子府村
01471,北海道,中川町,ﾎｯｶｲﾄﾞｳ,ﾅｶｶﾞﾜﾁｮｳ,,,01471,,,,中川町
01472,北海道,幌加内町,ﾎｯｶｲﾄﾞｳ,ﾎﾛｶﾅｲﾁｮｳ,,,01472,,,,幌加内町
01481,北海道,増毛町,ﾎｯｶｲﾄﾞｳ,ﾏｼｹﾁｮｳ,,,01481,,,,増毛町
01482,北海道,小平町,ﾎｯｶｲﾄﾞｳ,ｵﾋﾞﾗﾁｮｳ,,,01482,,,,小平町
01483,北海道,苫前町,ﾎｯｶｲﾄﾞｳ,ﾄﾏﾏｴﾁｮｳ,,,01483,,,,苫前町
01484,北海道,羽幌町,ﾎｯｶｲﾄﾞｳ,ﾊﾎﾞﾛﾁｮｳ,,,01484,,,,羽幌町
01485,北海道,初山別村,ﾎｯｶｲﾄﾞｳ,ｼｮｻﾝﾍﾞﾂﾑﾗ,,,01485,,,,初山別村
01486,北海道,遠別町,ﾎｯｶｲﾄﾞｳ,ｴﾝﾍﾞﾂﾁｮｳ,,,01486,,,,遠別町
01487,北海道,天塩町,ﾎｯｶｲﾄﾞｳ,ﾃｼｵﾁｮｳ,,,01487,,,,天塩町
01488,北海道,"幌延町
（留萌支庁）",ﾎｯｶｲﾄﾞｳ,ﾎﾛﾉﾍﾞﾁｮｳ,欠番,H22.4.1,01520," 幌延町
（宗谷総合振興局）",ﾎﾛﾉﾍﾞﾁｮｳ,北海道における支庁制度改革に伴う所管区域の変更," 幌延町
（宗谷総合振興局）"
01511,北海道,猿払村,ﾎｯｶｲﾄﾞｳ,ｻﾙﾌﾂﾑﾗ,,,01511,,,,猿払村
01512,北海道,浜頓別町,ﾎｯｶｲﾄﾞｳ,ﾊﾏﾄﾝﾍﾞﾂﾁｮｳ,,,01512,,,,浜頓別町
01513,北海道,中頓別町,ﾎｯｶｲﾄﾞｳ,ﾅｶﾄﾝﾍﾞﾂﾁｮｳ,,,01513,,,,中頓別町
01514,北海道,枝幸町,ﾎｯｶｲﾄﾞｳ,ｴｻｼﾁｮｳ,,,01514,,,,枝幸町
01515,北海道,歌登町,ﾎｯｶｲﾄﾞｳ,ｳﾀﾉﾎﾞﾘﾁｮｳ,欠番,H18.3.20,01514,枝幸町,ｴｻｼﾁｮｳ,合併後は枝幸町,枝幸町
01516,北海道,豊富町,ﾎｯｶｲﾄﾞｳ,ﾄﾖﾄﾐﾁｮｳ,,,01516,,,,豊富町
01517,北海道,礼文町,ﾎｯｶｲﾄﾞｳ,ﾚﾌﾞﾝﾁｮｳ,,,01517,,,,礼文町
01518,北海道,利尻町,ﾎｯｶｲﾄﾞｳ,ﾘｼﾘﾁｮｳ,,,01518,,,,利尻町
01519,北海道,利尻富士町,ﾎｯｶｲﾄﾞｳ,ﾘｼﾘﾌｼﾞﾁｮｳ,,,01519,,,,利尻富士町
01520,北海道,幌延町,ﾎｯｶｲﾄﾞｳ,ﾎﾛﾉﾍﾞﾁｮｳ,,,01520,,,,幌延町
01541,北海道,東藻琴村,ﾎｯｶｲﾄﾞｳ,ﾋｶﾞｼﾓｺﾄﾑﾗ,欠番,H18.3.31,01564,大空町,ｵｵｿﾞﾗﾁｮｳ,合併後は大空町,大空町
01542,北海道,女満別町,ﾎｯｶｲﾄﾞｳ,ﾒﾏﾝﾍﾞﾂﾁｮｳ,欠番,H18.3.31,01564,大空町,ｵｵｿﾞﾗﾁｮｳ,合併後は大空町,大空町
01543,北海道,美幌町,ﾎｯｶｲﾄﾞｳ,ﾋﾞﾎﾛﾁｮｳ,,,01543,,,,美幌町
01544,北海道,津別町,ﾎｯｶｲﾄﾞｳ,ﾂﾍﾞﾂﾁｮｳ,,,01544,,,,津別町
01545,北海道,斜里町,ﾎｯｶｲﾄﾞｳ,ｼｬﾘﾁｮｳ,,,01545,,,,斜里町
01546,北海道,清里町,ﾎｯｶｲﾄﾞｳ,ｷﾖｻﾄﾁｮｳ,,,01546,,,,清里町
01547,北海道,小清水町,ﾎｯｶｲﾄﾞｳ,ｺｼﾐｽﾞﾁｮｳ,,,01547,,,,小清水町
01548,北海道,端野町,ﾎｯｶｲﾄﾞｳ,ﾀﾝﾉﾁｮｳ,欠番,H18.3.5,01208,北見市,ｷﾀﾐｼ,合併後は北見市,北見市
01549,北海道,訓子府町,ﾎｯｶｲﾄﾞｳ,ｸﾝﾈｯﾌﾟﾁｮｳ,,,01549,,,,訓子府町
01550,北海道,置戸町,ﾎｯｶｲﾄﾞｳ,ｵｹﾄﾁｮｳ,,,01550,,,,置戸町
01551,北海道,留辺蘂町,ﾎｯｶｲﾄﾞｳ,ﾙﾍﾞｼﾍﾞﾁｮｳ,欠番,H18.3.5,01208,北見市,ｷﾀﾐｼ,合併後は北見市,北見市
01552,北海道,佐呂間町,ﾎｯｶｲﾄﾞｳ,ｻﾛﾏﾁｮｳ,,,01552,,,,佐呂間町
01553,北海道,常呂町,ﾎｯｶｲﾄﾞｳ,ﾄｺﾛﾁｮｳ,欠番,H18.3.5,01208,北見市,ｷﾀﾐｼ,合併後は北見市,北見市
01554,北海道,生田原町,ﾎｯｶｲﾄﾞｳ,ｲｸﾀﾊﾗﾁｮｳ,欠番,H17.10.1,01555,遠軽町,ｴﾝｶﾞﾙﾁｮｳ,合併後は遠軽町,遠軽町
01555,北海道,遠軽町,ﾎｯｶｲﾄﾞｳ,ｴﾝｶﾞﾙﾁｮｳ,,,01555,,,,遠軽町
01556,北海道,丸瀬布町,ﾎｯｶｲﾄﾞｳ,ﾏﾙｾｯﾌﾟﾁｮｳ,欠番,H17.10.1,01555,遠軽町,ｴﾝｶﾞﾙﾁｮｳ,合併後は遠軽町,遠軽町
01557,北海道,白滝村,ﾎｯｶｲﾄﾞｳ,ｼﾗﾀｷﾑﾗ,欠番,H17.10.1,01555,遠軽町,ｴﾝｶﾞﾙﾁｮｳ,合併後は遠軽町,遠軽町
01558,北海道,上湧別町,ﾎｯｶｲﾄﾞｳ,ｶﾐﾕｳﾍﾞﾂﾁｮｳ,欠番,H21.10.5,01559,湧別町,ﾕｳﾍﾞﾂﾁｮｳ,合併後は湧別町,湧別町
01559,北海道,湧別町,ﾎｯｶｲﾄﾞｳ,ﾕｳﾍﾞﾂﾁｮｳ,,,01559,,,,湧別町
01560,北海道,滝上町,ﾎｯｶｲﾄﾞｳ,ﾀｷﾉｳｴﾁｮｳ,,,01560,,,,滝上町
01561,北海道,興部町,ﾎｯｶｲﾄﾞｳ,ｵｺｯﾍﾟﾁｮｳ,,,01561,,,,興部町
01562,北海道,西興部村,ﾎｯｶｲﾄﾞｳ,ﾆｼｵｺｯﾍﾟﾑﾗ,,,01562,,,,西興部村
01563,北海道,雄武町,ﾎｯｶｲﾄﾞｳ,ｵｳﾑﾁｮｳ,,,01563,,,,雄武町
01564,北海道,大空町,ﾎｯｶｲﾄﾞｳ,ｵｵｿﾞﾗﾁｮｳ,,,01564,,,,大空町
01571,北海道,豊浦町,ﾎｯｶｲﾄﾞｳ,ﾄﾖｳﾗﾁｮｳ,,,01571,,,,豊浦町
01572,北海道,虻田町,ﾎｯｶｲﾄﾞｳ,ｱﾌﾞﾀﾁｮｳ,欠番,H18.3.27,01584,洞爺湖町,ﾄｳﾔｺﾁｮｳ,合併後は洞爺湖町,洞爺湖町
01573,北海道,洞爺村,ﾎｯｶｲﾄﾞｳ,ﾄｳﾔﾑﾗ,欠番,H18.3.27,01584,洞爺湖町,ﾄｳﾔｺﾁｮｳ,合併後は洞爺湖町,洞爺湖町
01574,北海道,大滝村,ﾎｯｶｲﾄﾞｳ,ｵｵﾀｷﾑﾗ,欠番,H18.3.1,01233,伊達市,ﾀﾞﾃｼ,合併後は伊達市,伊達市
01575,北海道,壮瞥町,ﾎｯｶｲﾄﾞｳ,ｿｳﾍﾞﾂﾁｮｳ,,,01575,,,,壮瞥町
01578,北海道,白老町,ﾎｯｶｲﾄﾞｳ,ｼﾗｵｲﾁｮｳ,,,01578,,,,白老町
01579,北海道,早来町,ﾎｯｶｲﾄﾞｳ,ﾊﾔｷﾀﾁｮｳ,欠番,H18.3.27,01585,安平町,ｱﾋﾞﾗﾁｮｳ,合併後は安平町,安平町
01580,北海道,追分町,ﾎｯｶｲﾄﾞｳ,ｵｲﾜｹﾁｮｳ,欠番,H18.3.27,01585,安平町,ｱﾋﾞﾗﾁｮｳ,合併後は安平町,安平町
01581,北海道,厚真町,ﾎｯｶｲﾄﾞｳ,ｱﾂﾏﾁｮｳ,,,01581,,,,厚真町
01582,北海道,鵡川町,ﾎｯｶｲﾄﾞｳ,ﾑｶﾜﾁｮｳ,欠番,H18.3.27,01586,むかわ町,ﾑｶﾜﾁｮｳ,合併後はむかわ町,むかわ町
01583,北海道,穂別町,ﾎｯｶｲﾄﾞｳ,ﾎﾍﾞﾂﾁｮｳ,欠番,H18.3.27,01586,むかわ町,ﾑｶﾜﾁｮｳ,合併後はむかわ町,むかわ町
01584,北海道,洞爺湖町,ﾎｯｶｲﾄﾞｳ,ﾄｳﾔｺﾁｮｳ,,,01584,,,,洞爺湖町
01585,北海道,安平町,ﾎｯｶｲﾄﾞｳ,ｱﾋﾞﾗﾁｮｳ,,,01585,,,,安平町
01586,北海道,むかわ町,ﾎｯｶｲﾄﾞｳ,ﾑｶﾜﾁｮｳ,,,01586,,,,むかわ町
01601,北海道,日高町,ﾎｯｶｲﾄﾞｳ,ﾋﾀﾞｶﾁｮｳ,,,01601,,,,日高町
01602,北海道,平取町,ﾎｯｶｲﾄﾞｳ,ﾋﾞﾗﾄﾘﾁｮｳ,,,01602,,,,平取町
